,1,2,3,4,5,6,7,8,9,10
AE-linear-linear- Mean ,0.5178947997093201,0.691384711265564,0.7439484512805938,0.7957303714752197,0.8176504814624787,0.8389866733551026,0.8489972603321075,0.8581674492359161,0.8662439274787903,0.8735143208503723
AE-tanh-linear- Mean ,0.5124495631456375,0.6879018318653106,0.7410944426059722,0.7925087749958039,0.8141405379772186,0.8350153732299804,0.845791357755661,0.8548134732246399,0.863447688817978,0.8710132408142089
AE-sigmoid-linear- Mean ,0.4907209676504135,0.6629160726070404,0.7233795905113221,0.7676007652282715,0.7964715957641602,0.8147469770908355,0.8309644949436188,0.8410775554180145,0.8505553472042083,0.8581992518901825
AE-ReLu-linear- Mean ,0.49709302484989165,0.6682783663272858,0.7135869634151458,0.7599120879173279,0.7884828221797943,0.8061799097061157,0.8229822814464569,0.8351076185703278,0.843934772014618,0.8521219956874847
AE-linear-linear-L1_lamda_0.1- Mean ,0.5154815220832825,0.6871434974670411,0.7374761629104615,0.7876311016082763,0.8042554450035095,0.8174741983413696,0.8240575337409973,0.8303281664848328,0.8339083623886109,0.8369532203674317
AE-linear-linear-L1_lamda_0.3- Mean ,0.5127722001075745,0.6793395686149597,0.7109320139884949,0.7314358150959015,0.7446280765533447,0.7561964023113251,0.7622046148777009,0.7636495864391327,0.7678849411010742,0.7681573057174682
AE-linear-linear-L1_lamda_0.5- Mean ,0.5068815058469772,0.659915429353714,0.6723874723911285,0.6787785995006561,0.6877554512023926,0.6955910122394562,0.6960968542098999,0.6991234648227692,0.7019946932792663,0.7045510578155517
AE-linear-linear - Standard deviation,0.005878565213669735,0.005764407812507207,0.005348279933763911,0.005020854883296268,0.005137489516669583,0.004466985701872559,0.0041663389908815456,0.00399109853405149,0.003718980170612156,0.0034782360164667928
AE-tanh-linear - Standard deviation,0.0074054186998274525,0.00576174172422063,0.005281948565841752,0.004668918757319208,0.004504037305576302,0.004296650548308329,0.00418473801979952,0.003916858536773124,0.003677247470731385,0.003722210277147495
AE-sigmoid-linear - Standard deviation,0.007218827473789817,0.005531338423872448,0.005295870878388348,0.00881083982026402,0.004710225458349928,0.005506876231561407,0.00454870909969172,0.004052081530157172,0.0036618963547511447,0.0033121216508133627
AE-ReLu-linear - Standard deviation,0.009680679650313941,0.011781494376292388,0.015077678710984185,0.016456206003384845,0.008062166960356582,0.006955369069164603,0.0074413688842076215,0.004894773467859422,0.005332380886208587,0.005283103943102901
AE-linear-linear-L1_lamda_0.1 - Standard deviation,0.005650337276901108,0.00459859857236188,0.005938120634950101,0.004643896545546902,0.005247539274820149,0.007937903346597216,0.007080008243152363,0.0069131261792724505,0.007218634964156721,0.006141651996210879
AE-linear-linear-L1_lamda_0.3 - Standard deviation,0.006799714556240811,0.005864664080294567,0.01557995992998657,0.014888991024283591,0.016925739380678855,0.012686507117354104,0.009742928429796589,0.010464376687371504,0.008644671064952557,0.011066672111779604
AE-linear-linear-L1_lamda_0.5 - Standard deviation,0.00733935309044102,0.023487565726953635,0.01024490020145558,0.014848031818415682,0.0158512210080069,0.016929427823983333,0.013479525142340427,0.018751990708355763,0.014974470559162517,0.014157596869694776
